epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1164.53,1.62079,1.12212,1.26607,0.91576,0.82149,0.88763,0.52484,1.50487,0.98444,1.22832,0.00333225,0.00333225,0.0700097
2,2275.89,1.53792,0.97294,1.2147,0.93897,0.85882,0.91279,0.56224,1.34257,0.98359,1.17364,0.00644562,0.00644562,0.0397897
3,3358.53,1.44683,0.88369,1.17225,0.91475,0.87809,0.91114,0.55641,1.36209,0.80733,1.17376,0.00933899,0.00933899,0.00934978
4,4399.62,1.40258,0.81886,1.15283,0.95021,0.89718,0.93937,0.59943,1.291,0.7217,1.12783,0.00901,0.00901,0.00901
5,5445.13,1.37925,0.78053,1.13099,0.92437,0.89143,0.91887,0.58795,1.27816,0.80812,1.12899,0.00868,0.00868,0.00868
6,6500.1,1.34161,0.75007,1.10831,0.96463,0.90864,0.94643,0.62621,1.1963,0.6651,1.08544,0.00835,0.00835,0.00835
7,7552.21,1.31746,0.71604,1.11097,0.96245,0.91275,0.94617,0.61448,1.23755,0.63332,1.09628,0.00802,0.00802,0.00802
8,8597.63,1.31221,0.71699,1.11059,0.97462,0.91238,0.94876,0.62137,1.22296,0.6018,1.08608,0.00769,0.00769,0.00769
9,9660.54,1.27787,0.68925,1.08081,0.96795,0.91962,0.95181,0.63197,1.19194,0.62227,1.0849,0.00736,0.00736,0.00736
10,10807.4,1.27717,0.67462,1.08853,0.96562,0.923,0.95231,0.64133,1.18197,0.58074,1.07173,0.00703,0.00703,0.00703
11,11953.6,1.27464,0.67193,1.08052,0.96408,0.92219,0.95385,0.63601,1.18758,0.60017,1.0704,0.0067,0.0067,0.0067
12,13075.1,1.26036,0.65011,1.0782,0.97334,0.92387,0.9564,0.64893,1.16381,0.5675,1.05434,0.00637,0.00637,0.00637
13,15180.8,1.24651,0.63997,1.07293,0.97842,0.92751,0.95669,0.64464,1.16669,0.55511,1.06024,0.00604,0.00604,0.00604
14,16313,1.23991,0.62602,1.06606,0.96988,0.93316,0.9591,0.64385,1.16002,0.57037,1.05398,0.00571,0.00571,0.00571
15,17533.3,1.23412,0.61988,1.06454,0.97617,0.92925,0.95859,0.64606,1.16214,0.53658,1.05042,0.00538,0.00538,0.00538
16,18593.5,1.21801,0.60975,1.0578,0.97601,0.93206,0.96088,0.65022,1.14818,0.54909,1.04771,0.00505,0.00505,0.00505
17,19604.2,1.20959,0.60012,1.06085,0.97722,0.93146,0.96404,0.65421,1.14512,0.53438,1.04718,0.00472,0.00472,0.00472
18,20607.5,1.19784,0.58546,1.05571,0.97336,0.93568,0.96065,0.65167,1.13659,0.50922,1.03881,0.00439,0.00439,0.00439
19,21625.8,1.20861,0.59604,1.04699,0.9797,0.93448,0.96513,0.66107,1.1168,0.51223,1.03277,0.00406,0.00406,0.00406
20,22642.6,1.20999,0.58124,1.0523,0.97633,0.93175,0.96292,0.64984,1.15193,0.51818,1.0476,0.00373,0.00373,0.00373
21,23649.3,1.17483,0.53661,1.05874,0.98087,0.93394,0.96206,0.65746,1.12165,0.50321,1.0347,0.0034,0.0034,0.0034
22,24659.1,1.15983,0.52444,1.04981,0.97796,0.93659,0.96445,0.66057,1.11792,0.49256,1.03198,0.00307,0.00307,0.00307
23,25670.2,1.15815,0.52512,1.05157,0.97722,0.93806,0.96522,0.65741,1.12259,0.50745,1.03631,0.00274,0.00274,0.00274
24,26689.2,1.14775,0.51226,1.04304,0.97761,0.9409,0.96705,0.66142,1.11745,0.50123,1.03051,0.00241,0.00241,0.00241
25,27710.4,1.12919,0.49989,1.0384,0.98178,0.94249,0.96768,0.66332,1.11254,0.48153,1.02787,0.00208,0.00208,0.00208
26,28784.7,1.12941,0.49672,1.03366,0.98461,0.94237,0.96848,0.66677,1.09199,0.47589,1.02207,0.00175,0.00175,0.00175
27,29906.6,1.12283,0.4863,1.03102,0.98089,0.9458,0.96929,0.67375,1.08169,0.46897,1.01501,0.00142,0.00142,0.00142
28,31059.8,1.11769,0.48096,1.0336,0.9855,0.94455,0.97009,0.66914,1.09661,0.47321,1.01943,0.00109,0.00109,0.00109
29,32438.3,1.11467,0.47499,1.02959,0.98293,0.943,0.9693,0.6656,1.09544,0.46387,1.01999,0.00076,0.00076,0.00076
30,33662.2,1.10518,0.46722,1.02748,0.98628,0.94301,0.96954,0.67394,1.07874,0.45482,1.0127,0.00043,0.00043,0.00043
